OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
881,2022/08/12 10:00:00+00,18973,106149,152699,131746,13002,6635,24824,17852,33638,8583,52304,6294,44069,55426,3538,214005,199925,7958,5650,21755,6357,37924,22217,9817,0
882,2022/08/13 10:00:00+00,18997,106281,152884,131920,13022,6636,24859,17883,33682,8594,52360,6303,44116,55477,3543,214284,200228,7971,5653,21796,6366,37955,22241,9829,0
883,2022/08/14 10:00:00+00,19010,106372,152985,132038,13032,6639,24872,17906,33713,8600,52381,6312,44142,55526,3550,214432,200411,7976,5653,21821,6369,37974,22257,9833,0
884,2022/08/15 10:00:00+00,19017,106406,153048,132090,13044,6643,24886,17911,33743,8600,52411,6312,44156,55596,3553,214576,200550,7985,5653,21826,6375,37983,22272,9837,0
885,2022/08/16 10:00:00+00,19045,106526,153205,132237,13055,6649,24904,17941,33780,8606,52452,6320,44203,55665,3559,214796,200823,7990,5654,21842,6380,38010,22286,9846,0
886,2022/08/17 10:00:00+00,19129,106642,153342,132396,13070,6653,24927,17952,33810,8615,52481,6333,44245,55738,3563,215020,201000,8001,5657,21862,6387,38051,22292,9848,0
887,2022/08/18 10:00:00+00,19177,106789,153525,132582,13090,6666,24970,17969,33851,8641,52545,6343,44300,55811,3567,215300,201274,8013,5681,21894,6405,38103,22413,9882,0
888,2022/08/19 10:00:00+00,19212,106917,153683,132742,13112,6675,24995,17988,33899,8649,52609,6352,44345,55898,3569,215577,201549,8026,5691,21931,6418,38125,22468,9887,0
889,2022/08/20 10:00:00+00,19254,107028,153858,132877,13132,6681,25026,17999,33941,8658,52650,6355,44387,55964,3571,215818,201757,8033,5704,21958,6433,38152,22496,9902,0
890,2022/08/21 10:00:00+00,19272,107087,153936,132950,13142,6684,25039,18009,33972,8664,52676,6360,44404,56033,3574,216042,201915,8036,5712,21971,6438,38169,22513,9906,0
891,2022/08/22 10:00:00+00,19278,107147,154011,133023,13147,6687,25055,18021,33995,8669,52706,6364,44434,56059,3578,216181,202049,8044,5715,21983,6441,38176,22528,9909,0
892,2022/08/23 10:00:00+00,19335,107255,154159,133148,13159,6694,25078,18040,34033,8678,52763,6370,44467,56137,3580,216490,202294,8051,5721,22001,6446,38202,22565,9919,0
893,2022/08/24 10:00:00+00,19356,107345,154269,133271,13170,6696,25103,18059,34073,8683,52807,6378,44502,56187,3581,216701,202487,8060,5728,22022,6459,38242,22587,9921,0
894,2022/08/25 10:00:00+00,19384,107476,154412,133437,13183,6699,25128,18079,34110,8692,52877,6382,44544,56244,3582,216954,202743,8067,5741,22043,6463,38273,22610,9933,0
895,2022/08/26 10:00:00+00,19416,107584,154530,133580,13196,6708,25161,18090,34151,8700,52927,6390,44600,56315,3586,217169,202962,8073,5747,22072,6474,38307,22638,9939,0
896,2022/08/27 10:00:00+00,19445,107694,154661,133724,13212,6715,25194,18109,34191,8704,52993,6398,44651,56372,3593,217418,203179,8077,5754,22087,6480,38348,22652,9951,0
897,2022/08/28 10:00:00+00,19454,107755,154740,133807,13223,6718,25200,18117,34220,8710,53029,6401,44683,56415,3595,217578,203295,8088,5758,22098,6485,38367,22661,9954,0
898,2022/08/29 10:00:00+00,19463,107801,154818,133865,13233,6720,25208,18129,34260,8713,53060,6405,44707,56446,3599,217709,203425,8092,5760,22106,6489,38372,22674,9961,0
899,2022/08/30 10:00:00+00,19476,107888,154958,133998,13243,6725,25228,18149,34293,8723,53112,6411,44753,56506,3599,217936,203614,8097,5764,22123,6497,38395,22694,9968,0
900,2022/08/31 10:00:00+00,19523,107988,155082,134100,13251,6728,25244,18153,34322,8727,53154,6415,44790,56543,3601,218104,203769,8101,5764,22139,6504,38430,22705,9974,0
901,2022/09/01 10:00:00+00,19561,108110,155217,134243,13263,6735,25270,18163,34355,8739,53204,6422,44838,56618,3605,218388,204005,8107,5765,22171,6518,38458,22725,9980,0
902,2022/09/02 10:00:00+00,19594,108209,155350,134351,13269,6737,25286,18176,34386,8749,53254,6424,44875,56668,3606,218592,204179,8119,5769,22200,6524,38491,22743,9985,0
903,2022/09/03 10:00:00+00,19625,108302,155484,134484,13279,6740,25300,18193,34420,8757,53306,6428,44910,56738,3608,218820,204376,8123,5776,22216,6531,38531,22757,9993,0
904,2022/09/04 10:00:00+00,19632,108348,155551,134550,13280,6744,25307,18200,34444,8763,53335,6432,44926,56768,3610,218950,204503,8124,5776,22224,6537,38540,22770,9996,0
905,2022/09/05 10:00:00+00,19639,108381,155605,134628,13284,6746,25319,18205,34458,8764,53361,6435,44945,56789,3611,219070,204601,8126,5780,22233,6538,38544,22780,9997,0
906,2022/09/06 10:00:00+00,19644,108424,155685,134676,13287,6746,25333,18213,34478,8769,53394,6436,44961,56809,3612,219196,204696,8126,5783,22244,6542,38558,22788,10002,0
907,2022/09/07 10:00:00+00,19706,108515,155830,134790,13302,6749,25351,18235,34528,8775,53435,6442,45006,56858,3621,219424,204894,8132,5788,22270,6545,38590,22796,10012,0
908,2022/09/08 10:00:00+00,19726,108589,155934,134915,13309,6755,25371,18243,34558,8784,53485,6445,45037,56891,3626,219579,205008,8134,5791,22297,6558,38626,22806,10017,0
909,2022/09/09 10:00:00+00,19745,108704,156093,135015,13329,6758,25406,18260,34612,8791,53547,6450,45070,56999,3631,219861,205239,8141,5794,22319,6564,38649,22821,10025,0
910,2022/09/10 10:00:00+00,19790,108826,156254,135153,13352,6761,25433,18277,34648,8806,53576,6454,45100,57067,3635,220090,205474,8147,5801,22340,6568,38673,22831,10032,0
911,2022/09/11 10:00:00+00,19797,108877,156340,135202,13364,6767,25441,18286,34671,8807,53607,6460,45120,57115,3638,220213,205577,8153,5803,22352,6570,38694,22836,10033,0
912,2022/09/12 10:00:00+00,19806,108924,156404,135264,13375,6769,25451,18301,34687,8810,53631,6461,45143,57154,3639,220329,205654,8154,5803,22363,6571,38695,22837,10035,0
913,2022/09/13 10:00:00+00,19848,108995,156511,135385,13390,6769,25461,18317,34718,8823,53678,6470,45182,57195,3640,220540,205848,8155,5807,22373,6572,38710,22853,10045,0
914,2022/09/14 10:00:00+00,19869,109065,156625,135497,13406,6772,25477,18338,34744,8833,53707,6477,45218,57256,3642,220748,206015,8162,5812,22392,6576,38750,22872,10046,0
915,2022/09/15 10:00:00+00,19886,109191,156768,135630,13420,6775,25509,18364,34771,8837,53730,6486,45267,57326,3643,221000,206202,8173,5815,22415,6581,38798,22887,10055,0
916,2022/09/16 10:00:00+00,19901,109300,156901,135776,13429,6781,25548,18384,34810,8840,53772,6493,45320,57390,3647,221240,206389,8179,5820,22440,6587,38831,22895,10062,0
917,2022/09/17 10:00:00+00,19919,109375,157008,135879,13446,6786,25574,18407,34848,8848,53805,6503,45355,57443,3653,221427,206555,8188,5822,22458,6596,38853,22909,10062,0
918,2022/09/18 10:00:00+00,19924,109433,157065,135928,13453,6789,25586,18416,34867,8856,53822,6508,45378,57468,3655,221555,206650,8191,5823,22465,6600,38872,22918,10063,0
919,2022/09/19 10:00:00+00,19931,109461,157118,135975,13463,6793,25600,18424,34878,8865,53845,6510,45406,57514,3657,221676,206726,8195,5823,22472,6603,38886,22925,10071,0
920,2022/09/20 10:00:00+00,19977,109535,157197,136054,13475,6796,25618,18440,34912,8870,53875,6521,45447,57564,3662,221830,206874,8204,5824,22488,6608,38908,22943,10080,0
921,2022/09/21 10:00:00+00,19994,109618,157321,136153,13487,6801,25639,18463,34933,8882,53900,6527,45477,57614,3664,222039,207034,8209,5828,22505,6615,38925,22953,10085,0
922,2022/09/22 10:00:00+00,20002,109717,157444,136239,13497,6805,25666,18489,34967,8886,53946,6535,45524,57674,3668,222253,207231,8221,5831,22525,6621,38955,22971,10089,0
923,2022/09/23 10:00:00+00,20009,109788,157563,136338,13520,6808,25691,18509,34984,8892,53974,6543,45578,57734,3669,222437,207410,8223,5838,22556,6629,38972,22985,10097,0
924,2022/09/24 10:00:00+00,20032,109856,157681,136433,13529,6810,25723,18536,35007,8896,53991,6547,45618,57793,3678,222652,207563,8228,5840,22577,6636,39008,22993,10105,0
925,2022/09/25 10:00:00+00,20038,109895,157742,136485,13536,6814,25736,18550,35030,8898,54005,6555,45638,57829,3681,222796,207639,8233,5840,22588,6639,39020,23001,10108,0
926,2022/09/26 10:00:00+00,20039,109916,157792,136515,13542,6815,25755,18563,35053,8899,54027,6558,45661,57843,3681,222877,207702,8235,5840,22597,6643,39034,23007,10109,0
927,2022/09/27 10:00:00+00,20052,109977,157868,136581,13548,6820,25763,18580,35077,8902,54043,6564,45697,57888,3683,223039,207837,8240,5843,22610,6646,39043,23021,10110,0
928,2022/09/28 10:00:00+00,20066,110065,157961,136694,13560,6823,25776,18594,35105,8910,54072,6571,45731,57918,3685,223213,207997,8242,5845,22634,6652,39054,23035,10118,0
929,2022/09/29 10:00:00+00,20087,110140,158049,136782,13573,6825,25802,18610,35139,8916,54096,6576,45783,57962,3688,223337,208161,8246,5852,22645,6658,39083,23049,10122,0
930,2022/09/30 10:00:00+00,20097,110207,158172,136868,13594,6826,25818,18623,35176,8918,54116,6582,45820,57995,3690,223509,208313,8249,5853,22661,6660,39092,23064,10129,0
931,2022/10/01 10:00:00+00,20104,110285,158267,136963,13608,6828,25842,18639,35200,8919,54133,6587,45848,58031,3695,223644,208464,8254,5854,22675,6665,39120,23082,10137,0
932,2022/10/02 10:00:00+00,20114,110325,158329,137027,13617,6832,25850,18653,35217,8920,54154,6593,45865,58075,3700,223744,208530,8255,5856,22679,6669,39128,23093,10142,0
933,2022/10/03 10:00:00+00,20121,110345,158372,137069,13619,6834,25856,18662,35233,8922,54176,6595,45885,58107,3704,223798,208588,8259,5861,22682,6671,39131,23096,10146,0
934,2022/10/04 10:00:00+00,20130,110372,158452,137119,13621,6835,25878,18678,35262,8926,54205,6599,45914,58155,3707,223929,208694,8262,5861,22692,6677,39140,23102,10148,0
935,2022/10/05 10:00:00+00,20157,110446,158534,137196,13633,6838,25886,18690,35275,8928,54226,6610,45943,58187,3709,224054,208808,8266,5861,22699,6683,39151,23111,10152,0
936,2022/10/06 10:00:00+00,20176,110521,158626,137273,13640,6843,25907,18703,35294,8931,54272,6613,45990,58229,3709,224211,208945,8270,5863,22709,6689,39186,23120,10160,0
937,2022/10/07 10:00:00+00,20192,110585,158706,137371,13648,6848,25923,18720,35319,8935,54300,6618,46036,58267,3713,224355,209070,8275,5866,22724,6691,39194,23142,10167,0
938,2022/10/08 10:00:00+00,20208,110653,158783,137458,13659,6854,25935,18734,35348,8937,54321,6625,46060,58312,3716,224494,209180,8282,5866,22729,6693,39208,23156,10173,0
939,2022/10/09 10:00:00+00,20215,110688,158839,137504,13665,6859,25939,18738,35363,8938,54339,6629,46075,58333,3718,224600,209232,8282,5867,22734,6697,39212,23160,10177,0
940,2022/10/10 10:00:00+00,20216,110720,158894,137540,13668,6866,25948,18744,35372,8943,54349,6630,46093,58349,3718,224674,209286,8284,5868,22743,6698,39213,23167,10179,0
941,2022/10/11 10:00:00+00,20250,110757,158939,137568,13676,6866,25950,18753,35383,8944,54368,6635,46113,58377,3718,224760,209341,8287,5870,22749,6699,39220,23172,10181,0
942,2022/10/12 10:00:00+00,20276,110834,159016,137627,13686,6869,25968,18771,35411,8948,54398,6639,46153,58423,3719,224900,209483,8290,5874,22758,6699,39250,23184,10182,0
943,2022/10/13 10:00:00+00,20291,110892,159117,137704,13696,6872,25989,18788,35433,8952,54425,6643,46182,58465,3720,225025,209568,8298,5875,22766,6705,39272,23197,10189,0
944,2022/10/14 10:00:00+00,20301,110964,159211,137785,13708,6875,26000,18798,35449,8957,54460,6645,46209,58511,3723,225169,209692,8301,5877,22774,6709,39296,23207,10192,0
945,2022/10/15 10:00:00+00,20309,111042,159306,137857,13719,6884,26019,18812,35469,8958,54479,6651,46243,58549,3724,225323,209834,8305,5877,22786,6718,39320,23216,10196,0
946,2022/10/16 10:00:00+00,20312,111070,159351,137889,13725,6885,26028,18814,35481,8962,54497,6653,46261,58603,3724,225406,209903,8307,5878,22790,6724,39337,23224,10198,0
947,2022/10/17 10:00:00+00,20316,111110,159408,137928,13730,6891,26038,18827,35491,8965,54514,6654,46278,58624,3725,225476,209954,8307,5879,22794,6727,39344,23228,10199,0
948,2022/10/18 10:00:00+00,20323,111168,159491,138006,13738,6894,26049,18839,35517,8967,54550,6658,46309,58660,3725,225637,210078,8308,5879,22806,6730,39372,23241,10200,0
949,2022/10/19 10:00:00+00,20332,111230,159571,138077,13746,6897,26065,18848,35542,8973,54576,6662,46328,58699,3726,225774,210199,8316,5882,22820,6734,39382,23254,10201,0
950,2022/10/20 10:00:00+00,20351,111307,159662,138159,13754,6899,26082,18861,35562,8979,54609,6671,46350,58755,3726,225905,210307,8319,5883,22836,6736,39397,23275,10206,0
951,2022/10/21 10:00:00+00,20363,111352,159745,138224,13764,6900,26096,18872,35583,8987,54643,6673,46370,58800,3726,226028,210448,8325,5884,22851,6740,39413,23283,10209,0
952,2022/10/22 10:00:00+00,20371,111417,159817,138314,13773,6901,26105,18883,35602,8988,54672,6681,46402,58838,3728,226148,210565,8327,5884,22862,6745,39426,23293,10213,0
953,2022/10/23 10:00:00+00,20377,111433,159863,138354,13776,6902,26120,18891,35611,8990,54693,6685,46422,58860,3731,226219,210637,8328,5885,22873,6746,39450,23297,10216,0
954,2022/10/24 10:00:00+00,20380,111450,159902,138397,13789,6903,26127,18896,35624,8993,54710,6689,46439,58886,3732,226293,210696,8329,5889,22878,6746,39456,23307,10220,0
955,2022/10/25 10:00:00+00,20384,111503,159997,138473,13794,6905,26142,18905,35638,8997,54729,6692,46460,58923,3735,226401,210808,8332,5890,22889,6748,39473,23314,10224,0
956,2022/10/26 10:00:00+00,20388,111546,160070,138547,13803,6905,26159,18914,35651,9002,54741,6693,46482,58956,3736,226536,210937,8335,5890,22899,6753,39482,23321,10229,0
957,2022/10/27 10:00:00+00,20421,111617,160174,138641,13810,6909,26180,18926,35670,9006,54769,6703,46514,59010,3737,226713,211101,8342,5893,22917,6755,39498,23343,10232,0
958,2022/10/28 10:00:00+00,20435,111696,160279,138737,13818,6918,26201,18943,35695,9006,54780,6707,46542,59057,3741,226867,211284,8345,5895,22935,6755,39514,23356,10234,0
959,2022/10/29 10:00:00+00,20445,111750,160371,138818,13823,6923,26218,18950,35724,9010,54809,6710,46570,59103,3741,227031,211466,8348,5895,22949,6763,39528,23372,10242,0
960,2022/10/30 10:00:00+00,20451,111793,160432,138861,13828,6926,26227,18955,35733,9013,54820,6713,46582,59128,3741,227114,211563,8350,5896,22949,6764,39544,23380,10244,0
961,2022/10/31 10:00:00+00,20452,111815,160471,138903,13831,6926,26234,18962,35743,9014,54836,6714,46588,59146,3741,227189,211626,8352,5897,22955,6764,39545,23383,10244,0
962,2022/11/01 10:00:00+00,20467,111880,160569,138989,13837,6930,26246,18976,35769,9017,54862,6717,46618,59177,3742,227341,211812,8355,5900,22969,6769,39559,23392,10250,0
963,2022/11/02 10:00:00+00,20484,111943,160659,139059,13841,6944,26260,18983,35783,9020,54894,6721,46648,59196,3744,227480,211945,8355,5901,22986,6770,39574,23401,10253,0
964,2022/11/03 10:00:00+00,20496,112007,160779,139146,13851,6956,26280,18992,35801,9026,54930,6725,46688,59244,3745,227635,212138,8362,5903,22997,6773,39595,23415,10256,0
965,2022/11/04 10:00:00+00,20514,112067,160879,139235,13860,6960,26293,19001,35830,9028,54955,6732,46709,59293,3746,227818,212307,8364,5903,23008,6780,39604,23431,10258,0
966,2022/11/05 10:00:00+00,20517,112139,160989,139335,13866,6967,26300,19010,35854,9030,54992,6736,46744,59339,3749,227972,212499,8368,5905,23025,6784,39623,23443,10261,0
967,2022/11/06 10:00:00+00,20524,112180,161038,139392,13869,6968,26301,19019,35869,9032,55011,6738,46765,59365,3751,228045,212623,8370,5905,23035,6786,39629,23445,10263,0
968,2022/11/07 10:00:00+00,20531,112215,161095,139436,13874,6969,26307,19021,35881,9032,55025,6740,46784,59384,3752,228160,212718,8372,5906,23042,6787,39631,23447,10265,0
969,2022/11/08 10:00:00+00,20556,112290,161184,139550,13880,6971,26319,19028,35899,9037,55059,6741,46815,59430,3752,228325,212872,8375,5908,23050,6789,39647,23455,10276,0
970,2022/11/09 10:00:00+00,20559,112350,161234,139598,13890,6972,26328,19036,35908,9039,55074,6744,46838,59453,3752,228455,212993,8380,5908,23057,6790,39653,23466,10278,0
971,2022/11/10 10:00:00+00,20569,112406,161343,139682,13894,6972,26346,19050,35926,9046,55098,6747,46864,59493,3753,228618,213171,8383,5910,23062,6795,39667,23480,10283,0
972,2022/11/11 10:00:00+00,20575,112460,161418,139777,13901,6978,26349,19056,35956,9054,55120,6750,46890,59550,3753,228763,213334,8387,5913,23072,6799,39676,23485,10286,0
